,TickerYahoo,Name,Market Cap,Country,IPO Year,Industry
0,IAC,IAC Inc. Common Stock,4163084171.00,United States,,Computer Software: Programming Data Processing
0,IAS,Integral Ad Science Holding Corp. Common Stock,1566101891.00,United States,2021,Computer Software: Programming Data Processing
0,IBEX,IBEX Limited Common Shares,264586035.00,Bermuda,2020,EDP Services
0,IBM,International Business Machines Corporation Common Stock,154141527355.00,United States,,Computer Manufacturing
0,ICCT,iCoreConnect Inc. Common stock,9948753.00,United States,,Computer Software: Prepackaged Software
0,ICG,Intchains Group Limited American Depositary Shares,506476235.00,China,2023,Semiconductors
0,ICHR,Ichor Holdings Ordinary Shares,1278416437.00,United States,2016,Semiconductors
0,IDAI,T Stamp Inc. Class A Common Stock,6127751.00,United States,,Computer Software: Prepackaged Software
0,IDN,Intellicheck Inc. Common Stock,60739620.00,United States,1999,Computer Software: Prepackaged Software
0,IFBD,Infobird Co. Ltd Ordinary Shares,5559855.00,China,2021,Computer Software: Prepackaged Software
